//1,//2,//3,//4,//5,//6,//7,//8,//9,//10,//11,//12,//13,//14,//15,//16,//17,//18,//19,//20,//21,//22,//23,//24,//25,//26,//27,//28,//29,//30,//31,//32,//33,//34,//35,//36,//37,//38,//39,//40,//41,//42,//43,//44,//45,//46,//47,//48,//49,//50,//51,//52,//53,//54,//55,//56,//57,//58,//59,//60,//61,//62,//63,//64,//65
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,193,193,193,193,193,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,194,194,194,194,194,194,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,194,194,194,194,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,194,194,194,194,194,194,193,193,193,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,194,194,194,194,194,194,194,194,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,300,0,0,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,194,194,194,194,194,194,194,194,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,193,193,193,193,193,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,194,194,194,194,194,194,194,194,194,194,0,0,0,0,"150,2",0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,194,0,0,0,104,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,194,194,194,194,194,194,194,194,194,194,194,193,193,193,193,193,193,194,"185,2,2","184,3,2","186,4,2",0,0,0,0,0,0,0,"183,2","183,3","183,4",194,194,194,194,194,194,0,0,190,194,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,194,0,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,194,103,0,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,194,194,194,194,194,191,0,0,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
110,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,0,0,250,0,0,0,250,0,0,0,250,0,0,194,194,194,194,194,194,0,0,0,104,194,194,194,194,194,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,110
