//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0,102,102,102,102,102,102,102,102,102,102,102,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,102,200,100,100,100,100,100,102,100,100,100,100,100,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,100,100,100,"101,100",100,"400,1",100,102,100,100,100,100,100,102,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0
0,102,100,100,100,100,100,100,102,100,100,100,"500,1","103,1",100,102,0,0,0,0,0,0,0,0,102,100,102,0,0,0
0,102,102,102,102,100,102,102,102,100,102,100,102,100,102,0,0,0,0,0,0,0,0,102,100,100,100,102,0,0
0,102,100,100,100,100,100,100,100,100,100,100,100,102,0,,102,102,102,102,102,102,102,100,100,100,100,100,102,102
0,102,102,102,102,102,102,102,102,102,102,102,102,0,0,0,102,100,"104,2,1",100,100,100,100,100,100,100,100,100,100,102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,100,102,102,102,100,102,102,102,"101,100",102,102,102
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,0,102,100,100,"103,3",100,"110,100,22","111,100,22",100,100,100,100,100,100,102
102,100,"104,1,1",100,102,100,100,"101,100",100,100,100,100,100,100,102,0,102,100,100,102,100,"112,100,22","113,100,22",100,100,100,100,"103,5",100,102
102,102,102,100,102,100,"110,100,21","111,100,21",102,100,102,102,102,102,102,0,102,100,100,102,100,100,"400,4",100,100,100,100,100,100,102
102,100,100,100,100,100,"112,100,21","113,100,21",100,100,100,100,100,100,102,0,102,102,100,102,102,102,100,102,102,102,100,102,102,102
102,102,100,102,102,102,100,102,102,"400,2","500,2","500,3","103,2",100,102,0,102,100,100,100,100,"101,100",100,"400,5",100,"400,6","101,100",100,100,102
102,100,100,100,100,100,100,100,"101,100",100,100,100,100,"400,3",102,0,102,100,100,102,100,100,"400,7",102,"500,4","500,6",100,100,"104,5,1",102
102,102,102,102,102,100,102,100,100,102,102,100,100,102,102,0,102,100,100,102,100,"500,5","500,7",100,"103,6",300,100,100,100,102
0,0,0,0,102,100,100,102,100,100,100,100,102,0,0,0,102,100,"104,3,1",102,100,100,100,102,100,"104,6,1",100,100,100,102
0,0,0,0,0,102,100,100,100,100,100,102,0,0,0,0,102,102,102,102,102,100,100,100,102,102,102,102,102,102
0,0,0,0,0,0,102,100,100,102,102,0,0,0,0,0,0,0,0,0,0,102,100,102,0,0,0,0,0,0
0,0,0,0,0,0,0,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
